version,author,changed_artifact,artifact_version,prompt_hash,tools_hash,reason,hypothesis,metric_name,metric_before,metric_after,run_file
v1,team,tools.yaml,v1+pf0c107a9d7a1+t2e14285ec846,f0c107a9d7a14032c948d642d7c36f2a85cb6d69a099530093a874c94d472446,2e14285ec846700c63c893723adc28981144a8742dc313f8ac7d7756bdba137a,Clarify lookup news argument contract,If lookup says topic news owns the news intent then Gemini will keep query as the core topic,case_accuracy,0.9091,0.875,runs/v0_B_base_gemini_20260729T153009607417.json
v3,team,artifacts/system_prompt.md + artifacts/tools.yaml,v3+pdca118a418c6+t53bcab640c99,dca118a418c6336020bf1694bb3884420f662321ded53c8ecf092f775997e722,53bcab640c99d89d5cf58c5017958f1f2973351f3f8e813fe80bdb3f8a681cc1,Fix remaining failed boundary missing-info out-of-scope and format routing cases,If prompt and tool descriptions explicitly forbid empty social_search guessing automatic send and tool use for out-of-scope requests then base and group eval failures should clear,base_case_accuracy,0.75,1.0,runs/v3_B_base_openrouter_20260729T155834213223.json
v3,team,artifacts/system_prompt.md + artifacts/tools.yaml,v3+pdca118a418c6+t53bcab640c99,dca118a418c6336020bf1694bb3884420f662321ded53c8ecf092f775997e722,53bcab640c99d89d5cf58c5017958f1f2973351f3f8e813fe80bdb3f8a681cc1,Verify same routing fix on team-authored group eval,The same clarified boundaries should fix group format/send/out-of-scope failures,group_case_accuracy,0.6,1.0,runs/v3_B_group_openrouter_20260729T155916506677.json
